MonthlyIncome,MonthlyRate,DailyRate,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,JobLevel,TrainingTimesLastYear,YearsSinceLastPromotion,JobInvolvement,RelationshipSatisfaction,WorkLifeBalance,Education
10965,12066,1261,26,5,2,0,0,2,1,3,2,0,2,3,3,3
4936,14862,1178,18,7,7,7,1,3,2,2,2,0,3,3,2,2
2543,11868,329,6,2,2,2,1,2,3,1,3,2,3,2,3,3
5304,4652,1362,9,5,2,4,0,3,0,2,3,0,4,2,2,3
16659,23258,1311,30,5,4,2,0,3,2,4,2,1,3,3,3,3
4260,5915,1371,5,5,2,3,1,2,3,2,2,0,3,4,4,4
2476,17434,202,1,1,0,0,1,1,2,1,3,0,3,1,3,1
3102,6582,575,7,6,4,4,0,0,2,1,2,0,3,3,3,1
2244,24440,253,2,2,1,2,1,1,0,1,1,1,3,4,3,3
7596,3809,164,10,10,9,0,2,2,1,3,2,9,2,2,3,2
2285,3427,464,3,1,0,0,0,3,2,1,4,0,3,3,3,3
3034,26914,1107,18,18,7,17,1,0,3,1,2,12,3,3,2,3
5715,22553,759,8,5,4,3,2,1,3,2,5,1,3,3,3,2
2576,20490,201,8,5,2,2,1,0,1,1,5,1,3,2,3,4
4197,21123,1305,18,1,0,1,0,1,2,2,2,0,3,4,2,4
14336,4345,982,25,25,10,9,1,1,0,4,3,3,2,3,3,3
3448,13436,555,20,1,0,0,1,2,1,2,3,0,2,2,3,3
19406,8509,821,24,4,2,2,1,0,0,5,4,1,3,3,2,2
6538,12740,1381,6,3,2,2,1,2,2,2,3,1,3,1,3,4
4306,4156,480,13,13,10,12,1,0,1,2,5,3,3,2,1,2
2258,15238,313,8,3,2,2,1,3,3,1,1,1,3,1,3,3
4522,2227,1473,8,5,2,2,0,2,2,2,3,0,3,4,3,4
4487,12090,891,5,5,4,3,0,3,1,2,3,1,2,2,3,2
4449,23866,1063,15,13,11,7,2,2,1,2,2,10,3,1,3,5
2218,16193,329,4,4,2,2,1,0,3,1,3,3,2,3,3,2
19197,8213,1218,21,21,8,6,1,2,1,5,3,1,3,3,3,1
13212,18256,906,36,7,7,7,3,0,2,4,0,7,4,4,2,3
6577,19558,1082,6,5,4,4,0,2,1,2,6,4,3,2,3,3
8392,19566,645,10,10,7,7,1,0,1,3,2,0,4,3,3,3
4558,13535,1300,10,10,0,8,1,0,2,2,2,1,3,4,3,2
4031,9396,688,6,2,2,2,1,0,0,1,5,0,3,3,3,3
7969,19609,319,28,5,4,4,0,2,3,3,4,0,2,3,3,3
2654,9655,192,8,2,2,2,2,3,0,1,3,0,3,4,2,2
16555,10310,1490,31,5,2,4,0,3,3,4,2,1,3,4,1,2
4556,12932,532,19,5,4,2,1,2,0,2,3,0,3,2,3,2
6091,24793,317,11,5,4,2,0,3,2,2,2,0,1,3,3,3
19566,3854,422,33,29,8,10,0,0,0,5,5,11,3,4,1,3
4810,26314,1485,19,10,7,8,1,2,2,2,5,0,3,3,2,3
4523,4386,1368,7,6,5,4,3,3,3,2,4,0,2,4,4,4
3202,21972,1448,6,5,3,4,0,1,0,1,4,1,3,2,3,1
2351,12253,296,3,2,2,0,1,2,3,1,3,1,1,4,2,2
1702,12106,1490,1,1,0,0,1,3,3,1,3,0,3,3,3,2
18041,13022,1398,21,20,15,12,0,2,2,5,2,1,3,4,3,4
2886,3032,1349,3,3,2,2,2,3,0,1,3,0,3,2,1,3
2097,16734,1400,9,5,3,4,1,3,2,1,3,1,3,3,1,3
11935,21526,986,10,10,2,7,0,2,1,3,2,0,2,3,3,4
2546,18300,408,6,2,2,1,0,1,2,1,2,1,2,2,4,5
2564,18437,489,1,1,0,0,0,3,0,1,3,0,2,3,4,2
8412,2890,1398,10,9,8,8,0,0,2,3,3,7,3,3,3,4
14118,22102,210,32,1,0,0,1,3,0,4,3,0,2,3,2,3
17046,9314,1099,28,27,10,7,1,2,1,4,2,15,2,2,3,4
2564,7181,1116,12,11,7,7,0,3,2,1,2,6,3,3,2,3
10266,2845,1499,22,18,13,11,0,0,2,3,5,13,2,4,4,3
5070,7389,983,20,5,0,4,3,3,0,2,2,0,3,3,3,2
17861,2288,1009,26,3,2,1,0,2,0,4,2,0,3,3,1,3
4230,19225,144,6,5,4,3,0,2,3,1,2,4,1,3,3,3
3780,23428,548,19,1,0,0,0,2,2,2,3,0,3,3,3,4
2768,8416,1303,14,7,3,7,1,2,3,1,3,5,2,3,3,4
9071,11563,1125,15,3,2,2,1,3,2,3,3,1,2,3,3,3
10648,14394,1274,13,13,8,8,1,1,2,3,6,0,3,4,4,1
13610,24619,1277,15,7,6,7,0,2,1,3,2,7,3,4,4,1
3408,6705,587,8,4,3,3,3,3,0,1,2,1,1,1,3,1
2983,18398,413,4,3,2,2,0,1,3,1,3,1,3,1,3,1
7632,14295,1276,10,8,7,0,0,2,3,3,2,0,3,3,3,3
9824,22908,534,12,1,0,0,0,2,0,3,2,0,3,1,3,3
9950,11533,988,11,3,2,2,3,0,1,3,2,0,3,3,3,3
2093,9260,1474,8,2,2,0,1,2,1,1,4,2,3,4,3,2
9980,15318,635,10,10,3,7,0,3,1,3,3,9,3,4,2,4
3894,9129,1368,4,2,2,2,0,2,2,1,3,1,2,3,3,1
4051,19658,163,14,9,7,7,1,3,1,2,2,6,3,1,3,5
16835,9873,1117,37,10,9,7,0,1,0,4,2,7,3,4,3,5
6230,13430,267,16,14,3,10,0,3,3,2,3,1,3,4,3,2
4717,18659,619,15,11,9,9,0,2,1,2,2,6,3,3,3,3
13237,20364,302,22,20,6,13,0,2,1,4,3,5,3,3,3,3
3755,17872,443,8,8,3,7,1,2,2,1,3,0,3,1,3,1
6582,8346,828,10,6,5,5,0,3,1,2,2,0,3,3,4,1
7406,6950,319,10,10,9,8,1,0,3,3,5,5,3,4,2,3
4805,16177,561,9,8,7,7,1,1,3,2,3,3,3,2,4,3
2741,22808,426,8,7,7,0,1,2,1,1,2,1,3,2,2,4
4262,22645,232,8,3,2,2,2,3,3,2,2,1,3,2,4,3
16184,22578,922,10,6,1,5,1,2,0,4,2,0,4,3,3,5
11557,25291,688,10,5,4,1,1,3,2,3,3,0,2,3,2,3
1878,8059,1306,0,0,0,0,0,1,1,1,3,0,3,4,3,3
10932,11373,1094,20,1,0,1,1,0,2,3,2,0,1,3,3,3
6811,2112,509,10,8,7,7,0,2,0,2,3,0,2,1,3,4
4306,4267,775,8,0,0,0,2,2,0,2,5,0,3,1,3,2
4859,6698,195,5,5,4,3,0,2,0,2,3,0,3,4,3,3
5337,19921,258,10,10,7,7,0,3,3,2,3,5,4,4,3,4
2340,23213,471,1,1,0,0,0,3,2,1,3,0,1,2,1,3
7491,23848,799,12,6,5,2,0,3,1,3,3,1,3,4,4,3
10527,8984,1034,28,2,2,2,0,2,0,3,3,1,3,4,2,1
16595,5626,1276,22,18,16,8,1,0,1,4,2,11,3,2,3,5
8834,24666,142,9,9,5,7,1,1,0,3,6,7,3,4,3,4
5577,22087,956,18,10,9,9,2,0,3,2,3,6,3,2,3,2
4707,23914,1474,6,4,2,2,0,2,3,2,2,1,4,4,3,4
2400,5530,535,3,2,2,1,2,3,3,1,3,2,3,3,3,3
9824,22174,1495,18,1,0,0,1,2,2,2,4,0,3,3,3,3
6447,15701,446,8,6,5,3,1,1,1,2,2,4,3,2,2,4
19502,2125,1245,31,31,9,9,1,2,3,5,5,0,2,3,3,4
2725,21630,691,6,6,5,4,2,3,1,1,3,1,4,2,3,3
6272,7428,703,6,5,3,4,2,1,0,2,5,1,3,4,4,2
2127,9100,823,1,1,0,0,1,1,3,1,2,0,2,4,3,2
18200,7999,1246,32,32,5,7,1,1,0,5,2,10,3,3,3,3
2096,26376,622,7,7,4,6,0,2,1,1,1,0,3,3,3,1
2886,14168,1287,6,6,3,2,1,2,0,1,4,1,3,4,3,3
2033,14470,448,1,1,0,0,1,0,1,1,2,0,2,3,4,4
3622,22794,254,6,6,5,3,1,3,1,1,3,1,2,4,3,2
4233,11512,1365,9,3,1,2,0,0,1,2,2,1,3,3,1,4
3681,14004,538,9,3,2,2,0,3,0,2,3,0,2,4,3,2
5460,6219,525,13,7,7,7,2,3,0,2,4,5,4,4,4,4
2187,5013,798,6,5,3,3,2,2,0,1,5,0,2,3,2,4
9602,3010,558,17,3,0,0,1,2,3,2,3,1,3,3,2,3
2836,11757,959,1,1,0,0,0,1,3,1,0,0,2,4,4,3
4089,5718,622,10,10,2,2,2,3,2,2,4,2,3,2,3,4
16627,2671,782,21,1,0,0,1,3,1,4,3,0,2,3,2,4
2619,14561,362,8,0,0,0,0,0,2,1,3,0,3,4,2,1
5679,19627,1001,10,8,7,7,1,2,3,2,3,4,3,2,3,5
15402,17997,1236,21,3,2,2,1,0,3,4,3,0,2,1,1,4
5985,26894,1112,10,2,2,2,0,2,0,2,1,0,2,2,4,4
2579,2912,204,8,8,2,6,2,2,2,1,3,0,3,4,3,3
3041,16346,1420,5,4,3,2,1,0,2,1,3,0,3,2,3,1
3447,24444,1343,3,3,2,2,0,2,2,1,2,1,3,3,3,1
19513,9358,1315,26,2,2,1,1,3,3,5,2,0,3,1,4,4
2773,12145,604,3,2,2,2,0,2,0,1,3,2,3,4,3,1
7104,20431,1216,6,5,0,2,0,2,2,2,3,1,3,4,3,4
6322,18089,646,6,6,4,5,1,3,0,2,2,0,3,4,2,4
2083,22653,160,1,1,0,0,1,2,2,1,2,0,3,3,3,3
8381,7507,238,18,14,7,10,0,0,3,2,2,8,3,4,4,1
2691,7660,1397,10,10,9,8,1,3,1,1,4,8,3,4,2,5
4286,5630,306,5,1,1,0,2,0,0,2,4,0,3,4,3,4
2659,17759,991,3,3,2,2,1,3,2,1,2,0,3,3,3,3
9434,9606,482,10,10,7,8,1,2,2,3,2,7,3,3,3,3
5561,3487,1176,6,6,0,2,1,2,1,2,5,1,3,1,2,2
6646,19368,1017,17,17,11,8,0,3,1,2,3,11,1,2,3,4
7725,5335,1296,15,13,11,7,1,3,2,2,2,4,3,3,1,3
10725,6729,397,16,9,7,1,1,1,2,3,1,7,3,3,4,4
8847,13934,913,13,3,2,2,1,1,1,2,2,0,2,3,3,2
2045,15174,1115,5,4,2,1,0,3,0,1,0,1,2,4,3,4
1009,26999,1362,1,1,0,1,0,2,3,1,5,1,3,4,3,1
3348,3164,1076,10,10,8,7,0,0,0,1,3,9,3,1,3,3
1281,16900,727,1,1,0,0,2,2,2,1,3,0,2,3,3,3
2819,8544,885,5,3,2,2,1,0,0,1,3,0,4,1,4,3
4851,15678,810,4,3,2,2,1,1,3,2,4,1,4,3,3,3
4028,7791,243,8,7,7,5,0,3,3,2,2,0,2,1,3,4
2720,18959,806,10,10,7,8,1,3,1,1,5,2,1,4,3,4
8120,18597,817,12,2,2,2,0,1,1,2,3,2,4,4,3,1
4647,16673,1410,6,6,5,4,2,3,3,2,3,0,4,2,3,1
4680,15232,1225,4,1,0,0,0,3,3,1,2,0,4,1,3,2
3221,3297,1207,20,20,8,8,3,2,3,1,3,3,4,3,3,1
8621,17654,1442,9,8,7,7,0,1,3,3,3,7,2,2,4,3
4577,24785,693,4,2,2,0,0,2,0,2,3,2,3,1,3,2
4553,20978,408,20,20,7,10,0,2,3,2,4,11,2,1,3,4
5396,21703,929,10,10,7,8,0,3,3,2,2,0,3,4,2,3
6796,23452,562,18,4,3,3,1,2,1,2,4,1,3,1,3,2
7625,19383,827,10,9,7,8,0,3,1,2,4,1,4,3,2,4
7412,6009,608,9,9,7,7,0,0,2,3,3,0,3,4,3,2
11159,19373,1018,10,7,7,7,0,3,2,3,6,7,3,4,3,2
4960,11825,703,20,7,7,7,0,0,3,2,2,1,3,4,3,4
10475,23772,580,20,18,13,12,1,0,3,3,2,1,2,3,3,4
14814,13514,970,32,5,1,3,0,2,2,4,3,1,4,3,3,3
19141,8861,427,23,21,6,6,3,3,1,5,2,12,2,2,2,4
5405,11924,1179,10,2,2,2,0,0,0,2,1,2,3,4,3,4
8793,4809,294,9,9,7,7,2,0,3,3,4,1,3,3,2,2
19189,19562,314,22,22,7,10,1,2,3,5,3,2,2,2,3,3
3875,9983,316,4,2,2,2,1,1,3,1,2,2,3,4,3,4
2216,3872,654,10,7,7,7,0,1,0,1,4,3,1,4,3,2
11713,20335,427,10,8,7,5,1,0,0,3,2,0,4,1,3,3
7861,15397,168,10,1,0,0,0,2,2,3,4,0,3,4,4,3
3708,2104,381,9,5,2,4,0,2,0,1,5,1,1,3,3,3
13770,10225,217,28,22,2,13,2,2,3,4,2,11,3,4,2,3
5304,25275,501,10,8,7,7,1,3,2,2,2,7,3,4,2,5
2642,2755,1396,1,1,0,0,0,2,2,1,6,0,3,3,3,3
2759,20366,933,7,2,2,2,0,2,2,1,2,2,4,4,3,3
6804,23683,775,7,2,2,2,1,3,3,2,5,2,2,3,3,3
6142,7360,970,10,5,1,3,0,2,1,2,2,4,3,4,3,2
2500,4344,650,5,4,3,2,1,0,1,1,2,0,3,4,4,1
6389,18767,141,12,8,3,6,1,1,2,2,3,3,4,3,1,3
11103,20420,832,30,10,7,1,0,3,2,4,1,1,3,3,2,3
2342,22929,804,5,4,2,3,0,3,3,1,2,2,2,4,2,1
6811,23398,975,9,7,6,7,0,0,3,2,2,0,2,1,1,3
2297,17967,1090,2,2,2,2,2,1,3,1,2,2,3,4,3,3
2450,10919,346,19,2,2,2,0,3,3,2,4,2,3,4,3,3
5093,4761,1225,16,1,0,0,1,0,3,2,2,0,3,1,4,4
5309,21146,430,10,10,8,7,2,3,0,2,2,4,3,4,3,4
3057,20471,268,6,1,0,1,1,2,3,1,0,0,3,2,1,5
5121,4187,167,7,0,0,0,1,0,1,2,3,0,3,3,3,5
16856,10084,621,34,34,6,16,0,0,2,4,3,1,2,1,4,4
2686,5207,527,10,10,9,8,0,3,3,1,2,7,3,3,2,4
6180,22807,883,6,6,5,4,0,3,2,2,5,1,3,2,2,1
6632,12388,954,9,8,7,1,0,2,1,2,3,3,1,1,3,2
3505,19630,310,2,2,2,2,0,2,0,1,3,0,4,4,3,1
6397,10339,719,8,5,4,3,0,2,1,2,2,1,4,4,3,2
6274,18686,304,6,6,5,4,0,3,3,2,5,1,3,3,3,3
19859,21199,725,24,5,2,4,1,0,3,5,2,1,3,4,3,3
7587,14229,1434,10,10,7,9,0,0,0,3,1,0,2,2,3,4
4258,26589,715,5,4,3,2,1,3,3,1,3,1,3,1,3,4
4364,5288,575,5,2,2,0,1,3,0,1,2,2,1,1,3,2
4335,25549,657,11,8,7,1,1,2,1,2,3,1,3,1,2,3
5326,3064,1146,6,4,3,2,0,0,3,2,2,1,2,3,2,3
3280,13551,182,10,4,2,3,0,3,1,1,2,1,4,3,3,4
5485,22670,376,9,5,3,4,2,0,3,2,4,1,3,2,3,4
4342,24008,829,5,4,2,1,1,3,2,2,3,1,3,2,3,1
2782,19905,571,6,5,3,3,2,0,3,1,3,4,3,2,2,1
5980,26085,240,17,15,7,12,0,0,0,2,2,4,4,4,3,4
4381,7530,121,6,6,5,3,0,0,2,1,3,1,2,3,3,4
2572,20317,384,3,3,2,2,1,3,0,1,1,0,3,2,2,4
3833,24375,921,7,2,2,2,2,2,3,1,2,0,1,3,3,3
4244,9931,791,8,8,7,7,1,1,2,2,2,3,4,4,3,2
6500,13305,1111,6,3,2,2,1,0,2,2,1,1,3,2,3,2
18430,16225,570,24,24,7,9,1,3,1,5,4,14,3,2,2,3
1601,3445,1243,1,0,0,0,2,0,2,1,2,0,4,3,3,3
2694,26551,1092,1,1,0,0,3,1,2,1,4,0,2,3,3,3
3149,21821,1325,9,5,2,4,1,2,3,2,3,1,3,2,3,4
17639,6881,691,30,4,3,3,0,2,2,4,3,0,3,4,3,3
2319,6689,805,1,1,0,0,1,0,1,1,1,0,2,4,3,2
11691,25995,213,14,13,9,7,0,2,2,3,3,3,3,4,4,3
5324,26507,118,6,3,2,2,0,0,0,2,3,0,3,3,3,3
16752,12982,202,26,26,14,0,1,3,2,4,3,3,3,3,2,2
5228,23361,676,10,9,7,5,1,1,2,2,2,0,3,1,3,3
2700,23779,1252,10,10,7,7,1,2,2,1,3,0,4,3,3,2
19246,25761,286,40,31,15,8,0,1,3,5,2,13,3,4,3,4
2506,13301,1258,7,2,2,2,0,2,3,1,0,2,4,3,3,4
6062,4051,932,8,4,3,2,1,3,3,2,4,0,2,4,3,2
4382,16374,890,5,2,2,1,0,2,2,1,3,2,3,4,2,4
2143,25527,1041,8,5,2,4,1,1,2,1,2,0,3,2,3,3
6162,19124,859,14,14,13,8,1,2,2,2,3,6,2,3,3,3
5094,11983,720,10,1,0,0,0,2,0,2,6,0,2,4,3,4
6877,20234,946,12,0,0,0,0,3,2,2,4,0,2,2,2,3
2274,6153,252,1,1,0,0,0,2,1,1,3,0,2,4,3,3
4434,11806,933,10,9,8,8,1,1,1,2,3,7,3,4,2,3
6288,4284,471,13,4,3,2,1,0,0,2,3,1,2,3,2,3
2553,8306,702,6,5,2,3,0,3,2,1,3,1,2,3,3,4
7654,5860,1184,9,9,8,7,2,3,2,3,3,7,3,1,4,3
5160,21519,436,12,9,7,3,0,3,2,2,3,7,3,3,2,1
17159,5200,589,22,4,1,0,1,0,1,4,3,1,3,3,3,2
12808,8842,269,9,9,8,8,1,3,2,3,3,0,2,2,3,1
10221,18869,950,17,8,5,6,0,2,2,3,3,1,3,2,4,3
4779,3698,760,8,8,7,5,0,1,1,2,2,7,3,1,3,4
3737,2243,829,4,3,2,2,1,3,2,1,1,0,3,3,1,2
2366,20898,887,8,8,7,7,1,2,2,1,2,1,2,1,3,2
1706,16571,443,0,0,0,0,3,3,3,1,6,0,3,3,2,3
16307,5594,1318,29,20,6,17,1,2,0,4,2,4,3,3,2,4
5933,5197,625,10,5,2,3,0,1,3,2,2,2,3,4,2,3
3424,21632,180,6,4,3,1,0,0,0,1,3,0,4,3,2,1
4037,21816,586,9,9,8,8,1,0,0,2,5,0,4,1,3,3
2559,17852,1343,6,6,5,1,0,0,2,1,3,1,2,4,2,1
6201,2823,928,18,18,14,11,1,3,1,2,1,4,3,4,2,2
4403,9250,117,8,5,2,3,1,3,1,2,3,0,3,3,2,4
3761,2373,1012,10,5,4,3,1,3,1,1,3,0,2,2,2,4
10934,20715,661,35,5,2,4,1,3,0,3,3,0,2,4,3,2
10761,19239,930,18,5,4,2,1,0,3,3,2,0,3,3,3,3
5175,22162,638,9,5,3,3,1,2,2,2,3,1,4,3,2,2
13826,19028,890,31,9,8,0,0,3,2,4,3,0,2,3,3,4
6334,24558,342,9,1,0,0,2,2,3,2,2,0,2,4,3,4
4936,23965,1169,6,5,1,4,1,3,1,1,6,0,2,4,3,2
4775,19146,1230,4,2,2,2,2,3,3,2,2,2,2,1,1,2
2818,5044,986,10,3,2,2,1,3,0,1,2,0,4,3,2,4
2515,9068,1271,8,2,1,2,0,3,1,1,2,2,3,4,3,1
2342,8635,1278,6,5,4,3,0,0,0,1,3,0,2,3,3,3
4194,14363,141,5,5,3,3,0,0,2,2,3,0,3,4,3,1
10685,23457,607,17,17,14,15,1,2,3,3,2,5,2,2,3,3
2022,16612,130,10,10,2,8,1,1,3,1,3,7,3,1,2,4
2314,9148,300,4,3,0,2,1,3,3,1,2,0,3,2,3,3
4256,18154,583,5,5,2,3,0,0,2,2,1,0,2,1,4,1
3580,10554,1418,7,4,2,2,1,0,2,1,2,0,3,2,3,3
3162,10778,1269,6,5,2,4,0,3,0,1,2,3,2,4,2,1
6524,8891,379,10,10,8,3,1,1,1,2,3,5,3,4,3,2
2899,12102,395,3,2,2,2,1,1,1,1,3,1,2,4,3,3
5231,23726,1265,17,5,3,3,1,3,2,2,1,1,4,2,2,3
2356,14871,1222,8,6,4,2,1,3,3,1,2,0,3,2,3,4
2800,23522,341,5,3,2,2,3,2,1,1,3,0,2,3,3,3
11836,22789,868,28,2,0,2,1,3,0,4,3,2,3,3,3,3
10903,9129,672,16,13,10,8,0,1,3,3,2,4,2,1,3,3
2973,21222,1231,10,5,4,0,1,3,2,1,3,0,3,2,3,2
14275,20206,102,33,12,9,8,0,3,3,4,0,3,3,3,3,4
5562,21782,422,12,5,2,2,1,3,3,2,2,2,3,2,2,3
4537,17783,249,8,7,6,7,1,3,2,2,2,7,3,1,3,2
7642,4814,1252,10,10,0,9,0,1,0,3,2,0,3,4,3,2
17924,4544,881,31,31,6,7,1,0,0,4,3,14,3,4,3,4
5204,7790,1383,13,5,4,4,2,3,3,2,2,0,2,3,3,3
2277,22650,1075,7,4,3,3,1,1,3,1,4,0,3,3,4,2
2795,18016,374,1,1,0,1,0,3,0,1,2,0,3,3,1,4
2532,6054,1086,8,4,3,3,3,3,0,1,5,0,2,3,3,1
2559,7508,661,8,8,7,1,0,0,1,1,0,7,3,4,3,2
4908,24252,821,4,4,2,2,0,3,0,2,3,0,3,2,3,4
2380,13384,781,3,1,0,0,1,3,3,1,3,0,2,4,2,1
4765,23814,177,4,1,0,0,1,1,0,2,2,0,3,3,4,3
2044,22052,500,2,2,2,2,0,2,2,1,3,0,2,4,2,3
2693,8870,1427,1,1,0,0,0,3,3,1,3,0,3,1,2,1
6586,4821,1425,17,16,8,11,1,3,2,2,2,4,3,1,2,1
3294,13137,1454,3,3,2,2,0,3,3,1,3,1,2,1,2,4
4171,10022,617,4,3,2,2,1,2,1,2,3,0,3,1,4,1
2778,17725,1085,10,7,7,0,1,3,1,1,1,1,1,3,2,4
2377,9834,995,6,2,2,2,1,2,2,1,2,2,3,2,3,3
2404,4303,1122,8,2,2,2,0,0,3,1,2,2,3,4,1,3
2318,17808,618,1,1,1,0,0,2,1,1,2,0,3,3,3,3
2008,6896,546,1,1,0,0,2,1,1,1,3,1,3,2,3,3
6244,7824,462,10,5,4,3,0,2,2,2,6,0,2,1,3,2
2799,3339,1198,6,3,2,2,0,0,2,1,1,0,2,2,3,4
10552,9255,1272,24,6,0,4,1,1,2,3,3,0,2,4,3,3
2329,11737,154,13,7,7,2,0,2,1,1,2,5,2,2,4,4
4014,19170,1137,10,10,6,7,1,3,3,2,2,0,3,4,1,1
7403,22477,527,29,26,9,7,1,1,0,3,3,1,3,3,2,2
2259,5543,1469,13,0,0,0,2,2,3,1,2,0,3,1,2,4
6932,24406,1188,9,9,8,0,1,2,3,2,2,0,3,4,2,2
4678,23293,188,8,6,2,1,0,3,1,1,6,0,3,3,3,4
13582,16292,1333,15,15,12,11,1,0,3,3,3,5,3,2,3,3
2332,3974,1184,5,3,0,2,0,1,2,1,3,0,2,3,3,3
2413,18798,867,1,1,0,0,3,1,2,1,2,0,2,3,3,2
9705,20652,658,11,1,0,0,1,1,0,3,2,0,2,2,2,4
4294,11148,1283,7,7,7,7,0,0,2,2,2,0,2,2,3,3
4721,3119,263,20,18,13,17,0,0,3,1,3,2,3,3,3,3
2519,12287,938,16,11,8,9,0,2,2,1,6,3,3,3,3,4
2121,9947,419,1,1,0,0,0,1,3,1,3,0,2,2,4,3
2973,13008,129,1,1,0,0,0,0,0,1,2,0,3,2,3,3
5855,17369,616,10,9,7,5,2,3,3,2,2,8,3,3,1,3
3617,25063,1469,3,1,1,0,1,1,3,1,2,0,3,4,3,4
6725,13554,498,8,8,7,3,1,0,2,2,2,6,3,3,4,4
10325,5518,530,16,16,7,7,1,3,2,3,6,3,2,1,3,1
6949,12291,1069,6,5,0,4,0,3,1,2,3,1,2,1,3,3
10609,14922,625,17,14,1,7,0,2,0,3,2,11,2,3,1,4
4447,23163,805,9,9,7,8,0,1,2,2,5,0,3,2,2,2
2157,18203,1404,3,3,1,2,1,3,2,1,5,0,3,2,3,3
4601,6179,1219,5,5,2,0,0,2,2,2,3,1,3,2,3,3
17099,13829,1053,26,9,8,8,1,3,3,4,2,7,3,2,2,2
2479,26227,289,7,1,0,0,0,2,3,1,4,0,3,1,3,3
14852,13938,1376,22,17,13,2,1,2,2,4,3,15,3,3,4,2
7264,9977,231,10,8,4,7,1,2,2,3,2,7,3,1,4,2
5666,19899,152,6,5,3,3,0,3,2,2,1,1,3,2,3,3
7823,6812,882,12,10,9,8,1,3,3,3,2,0,3,2,3,4
7880,2560,903,9,8,7,7,0,2,0,3,3,0,4,4,3,5
13194,17071,1479,22,1,0,0,0,1,1,4,2,0,4,4,2,3
5067,6759,1379,20,19,10,7,0,2,2,2,3,2,4,3,4,4
5079,25952,1229,12,7,7,7,2,3,0,2,3,0,3,4,3,4
2321,10322,335,4,3,2,2,0,0,2,1,0,1,2,1,3,2
17444,20489,722,10,10,8,0,0,2,3,4,2,6,3,4,3,3
2404,11479,906,3,0,0,0,0,0,3,1,5,0,2,3,3,3
3452,17241,461,5,3,2,2,0,3,1,1,4,0,3,1,3,1
2270,11005,974,8,5,3,2,2,3,3,1,2,0,3,4,3,4
17399,6615,1126,32,5,4,3,1,3,3,4,1,1,3,3,2,2
5488,20161,827,6,6,5,2,1,1,2,2,2,1,4,1,3,4
19419,3735,840,21,18,16,11,1,2,0,5,2,0,3,2,4,3
2811,12086,1134,4,2,2,2,1,1,2,1,2,2,3,2,3,4
3633,14039,248,9,9,8,8,1,0,3,2,2,0,3,3,3,2
4163,8571,955,9,9,0,7,0,3,3,2,0,0,3,3,3,2
2132,11539,138,7,5,2,1,0,2,0,1,2,0,3,2,3,3
13973,4161,939,22,12,11,5,1,2,3,4,2,1,3,4,3,3
2684,12127,1391,3,2,1,2,1,2,2,1,0,0,3,2,2,1
10845,24208,566,13,8,7,7,1,2,3,3,3,0,3,2,3,2
4377,24117,1206,5,4,2,2,2,2,3,2,6,3,2,2,3,1
3743,10074,622,5,4,2,2,1,1,2,1,2,0,2,4,1,4
4148,11275,853,4,4,3,3,1,0,2,2,1,0,3,3,3,1
1051,13493,287,0,0,0,0,0,3,1,1,2,0,3,4,3,2
10739,13943,1441,22,10,7,8,1,2,2,3,2,0,3,3,3,3
10388,6975,583,16,16,10,1,1,2,2,3,3,10,3,3,2,4
11416,17802,153,9,8,7,7,3,0,1,3,4,1,4,3,2,2
2600,18275,1097,1,1,0,0,0,0,3,1,2,0,2,1,3,3
2422,25725,109,4,3,2,2,0,1,1,1,3,1,3,1,3,3
5472,3334,1066,8,8,7,3,0,3,3,2,2,1,4,2,3,2
2451,6881,217,4,4,3,1,1,0,1,1,3,1,1,1,2,1
4240,13119,277,19,2,2,2,0,2,0,2,0,2,2,4,3,3
10999,22245,1355,27,15,11,8,0,2,2,3,3,4,2,2,3,4
5003,23371,549,8,2,2,1,0,2,3,2,6,2,3,2,3,2
12742,7060,466,21,21,6,8,1,3,3,4,3,11,2,3,3,1
4227,4658,1055,4,3,2,2,1,3,0,2,2,2,3,2,3,4
3917,9541,802,3,3,2,2,1,3,1,1,4,1,3,1,2,3
18303,7770,265,21,1,0,0,0,2,3,5,3,0,3,2,4,2
2380,20165,804,8,1,0,0,0,3,0,1,5,0,3,2,3,3
13726,21829,715,30,5,3,3,0,3,2,4,4,4,2,1,3,3
4777,14382,1141,15,1,0,0,0,1,0,2,2,0,1,1,1,2
6385,12992,135,17,8,7,7,2,1,2,2,3,6,3,4,3,4
19973,20284,247,21,21,16,10,2,2,1,5,3,5,1,2,3,1
6861,4981,1035,19,1,0,0,0,3,1,2,1,0,3,3,3,4
4969,21813,265,7,2,2,2,0,0,1,2,6,2,1,4,3,2
19845,25846,266,33,32,14,9,1,3,0,5,3,6,1,4,3,1
13320,11737,1448,23,12,11,11,1,3,3,4,2,11,4,3,3,3
6347,24920,145,19,18,7,13,1,2,3,2,3,0,3,1,3,3
2743,8269,885,18,17,13,14,0,0,2,1,1,15,4,3,3,4
10880,5083,945,21,21,6,8,0,0,3,3,2,2,3,3,3,3
2342,21437,1038,3,2,2,2,0,3,1,1,2,2,2,4,2,1
